date,venue,level,score,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,ball_7,ball_8,ball_9,red_missed,yellow_missed,green_missed
7/28/2019,Greenville,2,131,0,3,0,16,20,24,20,0,48,3,0,1
8/31/2022,Greenville,2,136,0,0,24,12,12,24,24,16,24,2,0,0
9/18/2022,Greenville,1,143,3,12,24,16,0,24,16,24,24,1,1,0
9/19/2022,Greenville,1,180,0,0,40,12,12,40,28,16,32,2,0,0
9/21/2022,Greenville,3,116,12,12,24,20,0,0,24,24,0,0,2,1
2/6/2023,Greenville,1,176,12,12,40,0,16,32,20,12,32,0,1,0
2/6/2023,Greenville,1,159,20,12,24,12,16,24,5,6,40,0,0,2
2/6/2023,Greenville,1,139,12,0,24,16,12,40,16,16,3,1,0,1
2/16/2023,Greenville,2,116,12,12,24,12,12,24,4,16,0,0,0,2
3/9/2023,Greenville,2,162,3,12,3,20,12,32,20,20,40,2,0,0
3/9/2023,Greenville,2,152,3,0,40,12,12,24,28,28,5,2,0,1
3/9/2023,Greenville,2,88,12,0,0,0,32,32,0,12,0,2,1,2
3/9/2023,Greenville,2,92,12,12,0,12,0,40,0,16,0,1,1,2
3/9/2023,Greenville,2,68,12,12,0,20,0,0,12,12,0,1,2,1
3/9/2023,Greenville,2,176,12,12,24,12,20,24,12,20,40,0,0,0
3/9/2023,Greenville,2,144,12,0,40,16,12,24,16,24,0,1,0,1
3/9/2023,Greenville,2,160,0,0,24,16,0,40,40,0,40,2,1,1
3/9/2023,Greenville,2,88,0,12,0,16,12,24,0,0,24,2,0,2
3/9/2023,Greenville,2,164,20,20,0,0,20,24,12,20,48,1,1,0
3/9/2023,Greenville,2,100,0,0,0,0,12,0,20,12,56,3,2,0
3/9/2023,Greenville,2,111,0,0,3,16,16,40,12,20,4,3,0,1
3/9/2023,Greenville,2,96,0,0,40,0,12,24,20,0,0,2,1,2
3/9/2023,Greenville,2,124,0,12,24,16,12,0,12,0,48,1,1,1
3/9/2023,Greenville,2,168,12,12,24,16,12,24,16,12,40,0,0,0
3/9/2023,Greenville,2,63,12,0,24,3,0,0,0,20,4,1,3,2